rollout/episode_reward,rollout/rew_surface_coverage_2d,time/total_timesteps,rollout/rew_collision,rollout/rew_termination,rollout/total_reward,rollout/episode_length,time/iterations,time/fps,time/training,train/n_updates,train/policy_gradient_loss,train/clip_range_vf,train/loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate
0.504,0.581,1589248,-0.057,0.02,0.544,17.2,97,247,6.728869438171387,480,-0.03890398196090246,0.2,4.180015563964844,6.281240683794022,0.47469482421875,0.2,0.11896992,-3.4017520375549792,0.601372092962265,0.0001
0.553,0.576,1605632,-0.062,0.02,0.534,19.471,98,247,6.697558879852295,485,-0.03654843164040358,0.2,3.460238456726074,6.090193858370185,0.48133544921875,0.2,0.13368823,-3.3620269767940045,0.6074104011058807,0.0001
0.55,0.572,1622016,-0.065,0.021,0.528,19.561,99,247,6.68979024887085,490,-0.037367685631033966,0.2,4.344338417053223,6.001318176835776,0.48157958984375,0.2,0.12469653,-3.3481912039220334,0.6176788508892059,0.0001
0.548,0.58,1638400,-0.061,0.022,0.541,18.935,100,247,6.71164870262146,495,-0.04097025149094406,0.2,4.816809177398682,6.176111233606934,0.4833984375,0.2,0.13275436,-3.357436625659466,0.6126343309879303,0.0001
0.569,0.628,1654784,-0.065,0.026,0.588,19.25,101,248,6.7187676429748535,500,-0.034912787575740366,0.2,4.084260940551758,6.096111615747214,0.47103271484375,0.2,0.12562224,-3.3954239401966335,0.6125804781913757,0.0001
0.546,0.591,1671168,-0.064,0.023,0.55,19.479,102,248,5.32698392868042,505,-0.025015011857641805,0.2,3.0006203651428223,5.6158471546550786,0.468595297029703,0.2,0.1317986,-3.3576268030865357,0.6386565864086151,0.0001
0.593,0.644,1687552,-0.056,0.023,0.612,19.945,103,248,6.679842948913574,510,-0.03762350341130514,0.2,5.234612941741943,5.941450711712241,0.488037109375,0.2,0.12977254,-3.3713962946087124,0.6160068213939667,0.0001
0.573,0.597,1703936,-0.061,0.021,0.557,20.224,104,247,6.678312540054321,515,-0.036492576177988664,0.2,3.7983627319335938,5.685077641531825,0.48446044921875,0.2,0.1282603,-3.4014825262129307,0.6366730332374573,0.0001
0.547,0.601,1720320,-0.064,0.021,0.558,19.431,105,247,6.779499292373657,520,-0.036755118943983686,0.2,3.8074002265930176,5.408068278059363,0.49083251953125,0.2,0.13148625,-3.4232355765998363,0.6431077122688293,0.0001
0.525,0.589,1736704,-0.062,0.02,0.547,18.991,106,247,6.755216598510742,525,-0.03933648456732044,0.2,2.7874608039855957,5.605527794733644,0.4850830078125,0.2,0.12966532,-3.4529481597244738,0.6313624382019043,0.0001
0.563,0.623,1753088,-0.062,0.022,0.583,20.203,107,248,2.589571237564087,530,0.005366222936705298,0.2,5.5831298828125,6.132182448499115,0.39742535425101216,0.2,0.08677988,-3.4098921391645423,0.6077885031700134,0.0001
0.564,0.606,1769472,-0.059,0.022,0.569,21.018,108,247,6.72005033493042,535,-0.042771149914187845,0.2,2.7840940952301025,5.979231926053762,0.4782958984375,0.2,0.1296753,-3.3694258205592633,0.626632034778595,0.0001
0.542,0.549,1785856,-0.063,0.019,0.506,18.932,109,247,6.729825019836426,540,-0.03811512421088992,0.2,2.5060830116271973,5.75128168836236,0.476708984375,0.2,0.12456561,-3.411882879957557,0.6308453977108002,0.0001
0.579,0.601,1802240,-0.068,0.023,0.556,19.724,110,247,6.754489898681641,545,-0.04001771284383722,0.2,2.969196319580078,5.868222890421748,0.485791015625,0.2,0.13075714,-3.3753543481230737,0.6211938858032227,0.0001
0.54,0.57,1818624,-0.062,0.021,0.529,18.496,111,247,6.69958233833313,550,-0.039950805102125744,0.2,2.845156669616699,5.75239384919405,0.471337890625,0.2,0.1315203,-3.36946316100657,0.6393453180789948,0.0001
0.555,0.59,1835008,-0.06,0.022,0.552,19.23,112,247,6.711742877960205,555,-0.03913020756299375,0.2,3.029386043548584,6.094858439639211,0.48487548828125,0.2,0.13510346,-3.352240701764822,0.6048094034194946,0.0001
